A2LD1,AR,ATP5G1,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,PTPLB,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
MAP3K1,7.69777549331269,6.32910631967942,4.66540786714167,6.87530263036797,8.85249999798809,9.43146629131916,9.21785089761905,3.38123877333892,3.0680607912096,9.31980048127112,1.04901578675184,3.2551923005267,4.58689549703649,7.94122784561756,7.69875567374471,9.32853764409725,5.95612528613285,5.04064157672761,5.55364320972014,4.73153610462088
ODZ3,8.05909739631861,6.6997234409883,8.026270104471,9.34248767133978,10.9512615147387,11.0687413926056,10.7499022108962,3.00837332890775,3.06823026887175,11.363327042965,3.51055944060705,2.02052239608696,8.16606990133803,9.72807995725516,10.4718082196431,10.1845597561546,8.23963511018586,8.936315814404,8.0452271558085,8.05597820289257
PCSK91,8.78829658426872,4.65683767471873,7.02705221861306,8.57897917479563,10.6905207133163,10.46833485792,10.5761084183723,6.46060344978574,7.08046327637626,10.9287322864908,6.86541633439374,6.5519180237347,2.07848455567513,9.56485955056408,9.68914994630193,8.1482807452392,8.53018583099575,6.79392891533606,4.54872758696535,3.85426640770395
PPP1R12C-Exon2,6.51724379117397,7.73958699276575,4.33103198497364,5.41013304296247,8.25927884365866,4.40586816706933,6.42390462615619,7.42155284742718,8.65643538143921,6.91612311893972,7.46695029633791,8.09268200990827,6.02729285399809,2.29932705090994,5.77507993621725,9.48913873294767,6.26686617936468,3.76733701798716,6.89630317091499,8.42624786281015
PTPLB,5.6084337113388,5.45634115471669,4.6058740694661,4.68116371461718,6.59476615369629,6.65277804448264,6.47118457105907,6.13143884169033,7.19868581184494,6.99459322854871,6.62778856860113,6.5671877634576,5.3264874325348,5.3652961523701,4.28636300941795,7.71312496335963,5.40548828687607,4.17191775120907,5.37468945681385,7.31095375281283
RP4-697K147,7.23611489903032,5.70204121239366,6.60748037267096,9.62013161186515,10.15764938794,10.3700384440105,10.2097842876806,8.65834653449518,9.7054171901204,10.679156521911,9.246336427333,8.82268797159434,5.10958854792409,8.75416057751129,9.52576150741301,3.41246547832501,7.39365423447628,8.36863529911328,5.04354396766033,4.28639018487716
TMEM57,7.6095551629014,5.90635745756419,5.37908349355119,7.86413407922082,9.40202990651086,9.68678083179443,9.47095433321613,7.6456535726983,8.54023298748037,9.83698997932741,8.48151690906102,7.82669657494026,8.12481951491343,7.79095176011848,7.80628914942568,5.60900730481565,6.80840918774569,6.74590680568903,7.35172001923702,9.41909430495296
TPH22,6.37722946379313,6.29611311460718,3.54946979600587,5.61911808412251,7.04677293612174,4.9145292208365,5.10011262692137,6.90503326831515,7.46524085899992,5.55922606560876,6.8144134342681,7.00308615968064,5.24451495189183,6.11452309892836,5.86594407874034,8.36610074188187,6.13049118318451,1.72543177944563,5.77090018415798,7.70102408903181
XRCC6,7.38196787222168,5.03366663839196,5.61948033091438,8.98148587314703,9.83533911815187,8.22382250201138,8.28617404945561,8.61422648053761,9.30035414371963,8.82298580146185,8.4813941424919,8.58660586819753,4.519117239962,8.30590905099526,8.97423413342138,7.71795618445675,7.25365412392589,7.50086406675436,2.15822295408431,4.0125310825759
ZNF498,7.37168649490701,5.1045709141154,6.07009868251646,9.60927555452742,10.5000848083996,10.6451438210733,10.5671468884731,7.75900868388248,8.06365687525124,10.7861811016216,7.40642126419147,7.88126141435437,3.78967908689984,8.99863399730246,10.0444188651873,4.02886063889182,7.19050978419592,7.95097363567004,4.30815971688463,2.9841850673762
